time,forecast_demand,real_demand
2014/10/23/2,10608.272428752101,10011.0
2014/10/23/3,10357.35790604254,9783.0
2014/10/23/4,10315.046829664065,9746.0
2014/10/23/5,10581.705008700501,10037.0
2014/10/23/6,11596.186863263474,11057.0
2014/10/23/7,13580.871538970088,13036.0
2014/10/23/8,14800.020925782428,14259.0
2014/10/23/9,15296.930078599404,14567.0
2014/10/23/10,15643.290517790643,14843.0
2014/10/23/11,15947.339880603404,15014.0
2014/10/23/12,16079.193002340979,15083.0
2014/10/23/13,16050.657625248517,14962.0
2014/10/23/14,16052.62558228938,14929.0
2014/10/23/15,15874.52547009161,14784.0
2014/10/23/16,15738.73643427232,14768.0
2014/10/23/17,15747.592240956184,15018.0
2014/10/23/18,15968.003429532428,15532.0
2014/10/23/19,16239.581501171011,15989.0
2014/10/23/20,15982.763107338875,15679.0
2014/10/23/21,15276.26652967038,15019.0
2014/10/23/22,14176.178543830029,13931.0
2014/10/23/23,12854.695390893003,12559.0
2014/10/23/24,11606.02664846777,11363.0
2014/10/24/1,10170.277054101405,10522.0
2014/10/24/2,9700.143375922333,10069.0
2014/10/24/3,9426.133327961674,9821.0
2014/10/24/4,9331.355879865694,9775.0
2014/10/24/5,9511.526870305577,10038.0
2014/10/24/6,10380.47654294794,11036.0
2014/10/24/7,12121.191059958282,12967.0
2014/10/24/8,13113.069897952855,14168.0
2014/10/24/9,13505.317158389687,14478.0
2014/10/24/10,13764.312957147022,14657.0
2014/10/24/11,13988.58830462167,14781.0
2014/10/24/12,14119.962985150753,14750.0
2014/10/24/13,14082.427362142442,14597.0
2014/10/24/14,14098.380001920976,14517.0
2014/10/24/15,13977.327617719176,14351.0
2014/10/24/16,13833.753859712393,14236.0
2014/10/24/17,13769.004910023059,14365.0
2014/10/24/18,13778.388815775139,14759.0
2014/10/24/19,14262.598352582329,15227.0
2014/10/24/20,14086.180924443273,14879.0
2014/10/24/21,13505.317158389687,14360.0
2014/10/24/22,12695.486091985413,13571.0
2014/10/24/23,11668.886802708155,12497.0
2014/10/24/24,10618.827749050703,11370.0
2014/10/25/1,9927.579017528915,10505.0
2014/10/25/2,9441.054333731343,9973.0
2014/10/25/3,9143.046063616588,9691.0
2014/10/25/4,9000.230598705364,9562.0
2014/10/25/5,9034.506310284058,9642.0
2014/10/25/6,9377.263426070997,10059.0
2014/10/25/7,10082.771822732446,10850.0
2014/10/25/8,10844.454302258975,11644.0
2014/10/25/9,11729.910184708568,12449.0
2014/10/25/10,12388.765529499016,12848.0
2014/10/25/11,12719.145304993648,12958.0
2014/10/25/12,12807.690893238609,12905.0
2014/10/25/13,12773.415181659913,12759.0
2014/10/25/14,12615.36606715816,12509.0
2014/10/25/15,12419.232828680077,12363.0
2014/10/25/16,12364.010848914402,12319.0
2014/10/25/17,12501.11369522918,12538.0
2014/10/25/18,12900.996996980608,13052.0
2014/10/25/19,13464.64203183024,13908.0
2014/10/25/20,13218.999432182934,13689.0
2014/10/25/21,12724.857923590096,13233.0
2014/10/25/22,12065.050475700242,12593.0
2014/10/25/23,11202.445067636445,11724.0
2014/10/25/24,10257.00668992414,10796.0
2014/10/26/1,9830.74166210411,10062.0
2014/10/26/2,9338.46616575438,9588.0
2014/10/26/3,9040.147214966442,9288.0
2014/10/26/4,8915.10923889361,9164.0
